Accelerometerx,Accelerometery,Accelerometerz,Gyroscopex,Gyroscopey,Gyroscopez,Orientationa,Orientationb,Orientationc,Orientationd,AccMagnitude,GyroMagnitude,Roll,Pitch,Yaw,Activity,time,hrm
-10.53720284,-2.142875671,-0.015562057,0.971549988,-1.252788544,-0.758490562,-0.848999023,0.301879883,-0.429931641,-0.057189941,10.75289738,1.757468762,1.918656444,-0.596520108,0.731089816,Mers,7/26/2024 8:26,107
0.531528473,-9.629772186,-1.923799515,0.041545868,-0.373918533,-0.071374893,-0.534362793,0.840270996,-0.0234375,0.088256836,9.834431323,0.382930155,-1.883751603,-1.10593128,1.396281915,Mers,7/26/2024 8:26,107
-1.076226234,0.70990181,9.91349411,-4.047062874,0.252474785,1.376362801,-0.857055664,0.451416016,-0.20098877,0.145874023,9.996978991,4.282153195,2.271416865,-0.79682327,1.073170012,Mers,7/26/2024 8:26,107
-9.040781021,-2.104566574,-1.992035866,-1.224025726,-1.198458672,-1.114299774,-0.702880859,0.328613281,-0.582275391,-0.242675781,9.493846893,2.043576804,1.944510607,-0.839875838,0.300360557,Mers,7/26/2024 8:26,107
-10.94303226,-3.207130432,1.703525543,2.061348915,0.657287598,0.59230423,-0.861694336,0.098815918,-0.47644043,0.143920898,11.52985863,2.243214354,2.147144217,-0.033164844,0.535959998,Mers,7/26/2024 8:26,107
-11.29259586,-1.610149384,-0.470474243,1.380624771,-1.603271484,-0.58484745,-0.733520508,-0.118652344,-0.467041016,0.479309082,11.41650771,2.195142535,2.406462637,0.67101578,0.180489262,Mers,7/26/2024 8:26,107
-7.694001198,-2.169212341,2.166817665,-0.004261017,0.688180923,0.671136856,-0.776062012,-0.088806152,-0.608154297,0.141662598,8.282405171,0.961267818,1.999844941,0.315344074,0.235190258,Mers,7/26/2024 8:26,107
-10.92387772,-1.731060028,1.909433365,-0.027697563,0.515603065,0.283368111,-0.743835449,-0.089050293,-0.64453125,0.152770996,11.22379655,0.588991648,2.203809324,0.335677457,0.130718229,Mers,7/26/2024 8:26,107
-10.87599277,-2.498425484,0.219075203,0.011717796,1.08127594,0.336633682,-0.773925781,-0.039428711,-0.594909668,0.213562012,11.16142207,1.13252691,2.346754524,0.320593634,0.218732868,Mers,7/26/2024 8:26,107
-7.750267029,-2.353571892,-1.228262901,-0.413334846,-0.919350624,-0.975811958,-0.750061035,-0.125061035,-0.544006348,0.354736328,8.192348224,1.402946985,2.381090114,0.610850602,0.211853067,Mers,7/26/2024 8:26,106
-9.618998528,-0.962497711,-0.897852898,0.643439293,1.776914597,0.788319588,-0.582397461,-0.392578125,-0.527709961,0.477722168,9.708639161,2.047654117,2.382565241,1.292302181,-0.055840274,Mers,7/26/2024 8:26,106
-13.1697073,-1.242628098,0.695536613,-0.720140457,0.745707512,0.504950523,-0.606506348,-0.367431641,-0.610351563,0.353088379,13.24647448,1.153107541,-0.64038894,1.06899042,0.011642684,Mers,7/26/2024 8:26,106
-11.86482811,-1.723876953,2.53314209,0.445293427,-0.045806885,0.192818642,-0.561523438,-0.473205566,-0.506774902,0.451599121,12.25408939,0.487404899,2.191758025,1.423355197,0.5056633,Mers,7/26/2024 8:26,107
-8.103422165,-2.510396957,1.940559387,-0.935330391,0.272715569,0.508146286,-0.63671875,-0.351501465,-0.612731934,0.309204102,8.702488977,1.098830911,0.054340529,0.972921302,0.102507351,Mers,7/26/2024 8:26,107
-7.682029724,-2.542718887,-1.382693291,0.25886631,-0.841584206,-0.5720644,-0.612854004,-0.253234863,-0.477722168,0.57623291,8.209192455,1.050015914,2.411879802,1.037135198,-0.389409933,Mers,7/26/2024 8:26,106
-7.814911842,-1.150448799,-0.016759872,-0.876738548,-0.732923508,-0.35793972,-0.542053223,-0.273193359,-0.536743164,0.58605957,7.899155678,1.19748411,2.465286812,1.181819613,-0.788154553,Mers,7/26/2024 8:26,112
-6.456161499,-2.388288498,2.025555611,-0.406943321,0.464468956,0.812821388,-0.522521973,-0.463439941,-0.550964355,0.456726074,7.175570973,1.020790324,-0.832435242,1.413119089,-0.158198406,Mers,7/26/2024 8:26,108
-7.54675293,-1.632894516,-1.075028419,0.148076057,1.422170639,0.931069374,-0.5078125,-0.415039063,-0.534423828,0.533081055,7.795864954,1.706278413,2.43036933,1.43884072,-0.947783948,Mers,7/26/2024 8:26,111
-12.38558292,-0.550683022,0.82722187,-1.181413651,0.128900528,-0.090549469,-0.533996582,-0.375671387,-0.577514648,0.490112305,12.42538579,1.191869442,2.626341554,1.314393724,-0.535502509,Mers,7/26/2024 8:26,110
-9.915887833,-3.252621651,1.661625862,2.002758026,0.99392128,1.047186852,-0.46295166,-0.549377441,-0.489135742,0.494567871,10.56718409,2.468910595,-0.801606643,1.448180079,2.798858878,Mers,7/26/2024 8:27,107
-12.101861,-1.671203613,0.144853592,-0.101202965,2.149768829,2.336195946,-0.545837402,-0.41204834,-0.611206055,0.39831543,12.21756701,3.176406705,-0.899642884,1.21316436,-0.187899632,Mers,7/26/2024 8:27,112
-12.27544594,-1.921404839,1.345582008,-1.07381916,-1.576639175,-1.294335365,-0.535339355,-0.260131836,-0.521606445,0.611328125,12.49755818,2.305251117,2.444987918,1.158649584,-0.88128457,Mers,7/26/2024 8:27,112
-10.47974014,-0.526740074,1.319245338,-1.334816933,0.847975731,0.630655289,-0.489135742,-0.465942383,-0.614257813,0.407775879,10.57557643,1.702505559,-0.82767656,1.275710501,-0.375906263,Mers,7/26/2024 8:27,112
-8.17764473,-1.95731926,1.370721817,-0.743577003,-0.062851906,-0.520929337,-0.556152344,-0.320251465,-0.62310791,0.447143555,8.51961562,0.910068402,2.956954695,1.151693926,-0.409259106,Mers,7/26/2024 8:27,112
-11.34287548,-3.379518509,2.342797279,1.183544159,-1.017357826,-0.32171917,-0.475402832,-0.421203613,-0.479064941,0.605895996,12.06526703,1.593517162,2.318166012,1.375601191,-1.847688612,Mers,7/26/2024 8:27,112
-7.855614662,-1.047494888,-1.498815536,0.46553421,0.700964928,-0.223711967,-0.541442871,-0.417724609,-0.575561523,0.448486328,8.065629254,0.870701427,-1.965803909,1.319580765,-0.255088971,Mers,7/26/2024 8:27,112
-9.93384552,-1.989642143,1.648457527,0.884196281,0.947048187,0.331306458,-0.430847168,-0.507446289,-0.67401123,0.320251465,10.26437406,1.337335897,-0.804027819,1.053116641,-0.418316904,Mers,7/26/2024 8:27,112
-13.5875082,-2.930591583,1.399453163,1.712997437,0.030893326,0.191753387,-0.513183594,-0.459533691,-0.623413086,0.369873047,13.97022603,1.723973311,-0.801421456,1.20215471,-0.168113948,Mers,7/26/2024 8:27,113
-8.175250053,-2.328432083,-1.395861626,0.919350624,-1.314576149,-1.635230064,-0.545532227,-0.303161621,-0.51361084,0.588806152,8.614217264,2.290697139,2.424546603,1.209964059,-0.826853719,Mers,7/26/2024 8:27,113
-10.08588219,-1.934573174,0.732647896,0.964093208,-1.841897964,-0.889522552,-0.543762207,-0.335876465,-0.618713379,0.456787109,10.29584216,2.261263849,3.03403532,1.195814962,-0.463456351,Mers,7/26/2024 8:27,113
-9.653715134,-1.374313354,2.172803879,-0.310001373,0.9864645,0.722270966,-0.545410156,-0.393981934,-0.695129395,0.253051758,9.990196684,1.261304249,-0.794786956,0.897180112,-0.167473486,Mers,7/26/2024 8:27,112
-8.2039814,-2.096186638,-0.154430389,1.262376785,-0.925742149,-2.388395309,-0.682861328,-0.026367188,-0.585388184,0.436279297,8.46895259,2.855700584,2.635332252,0.578532403,-0.084844594,Mers,7/26/2024 8:27,111
-11.43505573,-2.910240173,2.346388817,0.95450592,1.47117424,1.546811104,-0.609985352,-0.282043457,-0.691650391,0.264587402,12.03060838,2.338388288,-1.044149608,0.789624197,-0.138442783,Mers,7/26/2024 8:27,112
-7.66407299,-1.824437141,-1.729863167,-0.005326271,-1.259180069,-0.9864645,-0.689941406,-0.03137207,-0.593383789,0.413330078,8.065916703,1.599585892,2.637872395,0.563107549,-0.05781683,Mers,7/26/2024 8:27,111
-8.552349091,-1.379101753,-1.291710854,-1.043990135,0.780861855,1.350795746,-0.635253906,-0.229309082,-0.670715332,0.30657959,8.75860226,1.877314514,-3.082043422,0.779036662,-0.122634519,Mers,7/26/2024 8:27,111
-11.13337708,-2.961717606,2.687572479,1.472239494,0.34622097,-0.019174576,-0.489562988,-0.31817627,-0.808837891,-0.069519043,11.82991556,1.512522976,-0.71978409,0.200414324,-0.363512703,Mers,7/26/2024 8:27,111
-12.912323,-0.861938477,1.086999893,0.087353706,-1.811004639,-1.635230064,-0.712524414,0.117858887,-0.510803223,0.466369629,12.98663128,2.441586745,2.620715403,0.31360683,0.051465897,Mers,7/26/2024 8:27,111
-13.06435966,0.022745132,-0.415406227,-0.678593636,0.837323189,0.271650314,-0.48059082,-0.274536133,-0.832702637,-0.015258789,13.0709821,1.111482496,-0.850342005,0.240787028,-0.446564679,Mers,7/26/2024 8:27,111
-8.371581078,-1.661625862,2.403851509,-0.58484745,0.610414505,0.12677002,-0.448425293,-0.278137207,-0.844665527,-0.089782715,8.866953949,0.8548234,-0.812998968,0.097931249,-0.501821618,Mers,7/26/2024 8:27,111
-9.325699806,-2.285334587,0.812855721,0.189621925,1.57024765,1.255984306,-0.614562988,-0.190368652,-0.764099121,0.047790527,9.635982849,2.019685801,-0.802322176,0.312060693,-0.184906677,Mers,7/26/2024 8:27,111
-12.8979578,-0.545894623,-1.655640602,-2.347913742,-0.429314613,-0.186426163,-0.640197754,0.075500488,-0.735412598,-0.20892334,13.01523961,2.394110417,-0.536604704,-0.415841872,-0.183567146,Mers,7/26/2024 8:27,110
-7.235497475,-2.236251831,-1.725074768,-0.502820015,-0.925742149,-0.808560371,-0.727355957,-0.024169922,-0.672851563,0.132751465,7.767182817,1.328004656,2.614932188,0.215467698,0.060903993,Mers,7/26/2024 8:27,111
-7.861600876,-1.289316177,0.855952263,1.323098183,-0.08309269,0.189621925,-0.600769043,0.129211426,-0.718994141,-0.324707031,8.012475199,1.339197398,-0.318142973,-0.671520865,-0.304085696,Mers,7/26/2024 8:27,110
-12.29819202,1.231853485,2.698347092,-1.820591927,0.663679123,0.71587944,-0.687927246,0.010009766,-0.711791992,-0.141479492,12.65085242,2.065794839,-0.07467057,-0.216876062,-0.054558324,Mers,7/26/2024 8:27,110
-10.79339027,-1.315653801,-1.462901115,-1.045055389,-1.474370956,-2.117810249,-0.728820801,-0.018493652,-0.679504395,0.082336426,10.9712487,2.7840673,2.467132267,0.139303144,0.063704613,Mers,7/26/2024 8:27,111
-7.076278687,-1.109745979,-0.287312508,-0.576325417,-1.492480278,-1.213373184,-0.82598877,0.126281738,-0.549316406,-0.002563477,7.168528766,2.007964853,1.92420416,-0.21303874,0.412188322,Mers,7/26/2024 8:27,111
-8.420663834,-1.46409893,-1.617332458,-0.720140457,-0.335568428,-0.15127182,-0.790588379,0.11529541,-0.59967041,-0.046020508,8.698674,0.808759304,1.823021261,-0.239787999,0.286834882,Mers,7/26/2024 8:27,110
-9.74948597,-1.744228363,0.238229752,0.098007202,1.322032928,1.417909622,-0.708251953,0.045471191,-0.697265625,-0.100830078,9.90714705,1.94109355,0.287773062,-0.206484973,0.007468246,Mers,7/26/2024 8:27,110
-13.48335743,-0.933766365,1.960910797,0.103333473,-1.063165665,0.149141312,-0.695678711,0.032897949,-0.710144043,-0.103210449,13.65715997,1.07853705,-0.110753524,-0.193567898,-0.030475357,Mers,7/26/2024 8:27,111
-12.86922646,-1.787325859,0.221469879,0.788319588,-2.234992027,-0.778731346,-0.803039551,0.060424805,-0.592346191,-0.024902344,12.99463629,2.49460611,1.678947034,-0.126888861,0.30351281,Mers,7/26/2024 8:27,111
-14.58592129,-1.850773811,-1.098971367,1.106842995,2.527949333,1.734302521,-0.662841797,-0.00012207,-0.748718262,-0.006469727,14.74388692,3.259361054,-1.49862296,-0.009526323,-0.121547824,Mers,7/26/2024 8:27,111
-6.781783104,0.077813148,-1.061860085,-0.131031036,0.960897446,0.600827217,-0.749511719,0.068237305,-0.658447266,0.001220703,6.864851331,1.140827059,2.209124073,-0.100852662,0.133810829,Mers,7/26/2024 8:27,111
-9.98651886,1.27375412,0.486037254,-1.592617989,0.788319588,-0.169382095,-0.61138916,0.04284668,-0.78112793,-0.119140625,10.07914881,1.785096671,-1.232740415,-0.240841714,-0.257366372,Mers,7/26/2024 8:27,111
-9.202394485,-1.167208672,2.14766407,-0.143815041,0.467664719,0.147010803,-0.600097656,0.024597168,-0.790405273,-0.120666504,9.521496799,0.510886711,-1.170967433,-0.222093606,-0.287355056,Mers,7/26/2024 8:27,111
-8.282993317,-1.582614899,-0.606947899,-0.561410904,-1.491415024,-1.173956871,-0.838317871,0.167419434,-0.518798828,0.005981445,8.454645703,1.979311929,1.996120053,-0.278064567,0.486954704,Mers,7/26/2024 8:27,110
-12.45860767,-2.065061569,0.356746674,0.730792999,-1.788633347,-0.210927963,-0.792480469,0.074707031,-0.604675293,-0.027404785,12.6336318,1.943645611,1.750950346,-0.152135913,0.273039563,Mers,7/26/2024 8:27,109
-7.765829086,-2.278151512,-1.313259125,-0.070308685,-0.663679123,-0.416530609,-0.710144043,0.045837402,-0.701599121,-0.036376953,8.198946593,0.786708992,2.411959938,-0.116409126,0.012958985,Mers,7/26/2024 8:27,113
-14.37522507,-1.568249702,0.550683022,0.527321815,1.166500092,0.651961327,-0.592468262,0.047912598,-0.803527832,-0.032897949,14.47099702,1.436608622,-1.698570758,-0.109863095,-0.299928359,Mers,7/26/2024 8:27,111
-9.38435936,-2.645672798,1.494027138,0.828800201,2.144442558,2.342587471,-0.64050293,0.06817627,-0.762512207,-0.060913086,9.863969903,3.282264419,-1.72035997,-0.181218389,-0.1740341,Mers,7/26/2024 8:27,113
-8.213559151,-2.157240868,2.833623886,0.019174576,0.844779968,0.129965782,-0.670166016,0.063049316,-0.736450195,-0.067993164,8.952411207,0.854933894,-1.589483909,-0.185719975,-0.095733625,Mers,7/26/2024 8:27,110
-10.6940279,-1.96330452,1.826830864,0.527321815,1.131344795,0.938526154,-0.682189941,0.120727539,-0.718139648,-0.065490723,11.02515797,1.561678803,-2.516884015,-0.261760203,-0.041498035,Mers,7/26/2024 8:27,114
-9.694417953,-1.717891693,-0.715888023,-0.599761963,-1.818461418,-1.067426682,-0.802124023,0.169616699,-0.572387695,-0.015930176,9.871443004,2.192239965,2.10167397,-0.294586023,0.360612613,Mers,7/26/2024 8:27,112
-13.28942108,-1.837605476,1.608952522,0.606153488,-0.731858253,-0.698834419,-0.81842041,0.122619629,-0.557800293,0.063354492,13.51200336,1.179579628,2.175985815,-0.130399747,0.378892883,Mers,7/26/2024 8:27,112
-8.244684219,-2.596590042,1.859153748,0.492166519,1.001379013,0.332371712,-0.627563477,0.087402344,-0.770324707,-0.072021484,8.841580762,1.164241712,-1.786416398,-0.222492016,-0.203756923,Mers,7/26/2024 8:27,113
-10.33488655,-1.355158806,2.166817665,0.109724998,0.002130508,-0.057525635,-0.749267578,0.085449219,-0.656311035,-0.023986816,10.64619341,0.123908486,2.12225256,-0.160218876,0.139340372,Mers,7/26/2024 8:27,112
-9.999688148,-2.085412979,-0.132882118,0.225842476,1.233613014,0.556084633,-0.747619629,0.106079102,-0.655639648,-0.001281738,10.21569224,1.371873176,2.432200094,-0.160988856,0.142157587,Mers,7/26/2024 8:27,114
-8.510449409,-2.020767212,1.970487595,0.199210167,0.423987389,0.363265991,-0.65814209,0.15020752,-0.725769043,-0.132324219,8.966274066,0.592800284,-1.989281192,-0.400402921,-0.096363003,Mers,7/26/2024 8:27,113
-11.79898548,-0.979257584,0.124502182,0.028762817,-1.743890762,-0.411204338,-0.780456543,0.115112305,-0.614562988,-0.000183105,11.84020712,1.791946232,2.14530573,-0.180890243,0.249697677,Mers,7/26/2024 8:27,114
-14.30339622,-1.697540283,1.185165405,0.768078804,-0.418661118,-0.042611122,-0.708129883,0.049743652,-0.704101563,0.016479492,14.4524532,0.875806993,3.103778197,-0.047261053,0.007947961,Mers,7/26/2024 8:27,114
-7.143318176,-1.91661644,-0.337592125,-0.136357307,-1.041859627,-0.570999146,-0.804504395,0.186096191,-0.564025879,0.001098633,7.40367352,1.195869902,2.194067327,-0.302796967,0.381051835,Mers,7/26/2024 8:27,114
-7.031984329,-0.639270782,2.342797279,-1.257049561,-0.052199364,-0.164054871,-0.69744873,0.211975098,-0.674682617,-0.115966797,7.439500644,1.268783817,-3.139499218,-0.469191259,0.070191368,Mers,7/26/2024 8:27,112
-11.49730682,-1.418607712,0.673987389,0.152337074,-1.667189598,-0.97474575,-0.796813965,0.163208008,-0.581665039,0.010925293,11.60408424,1.937229211,2.225418203,-0.24997849,0.334192563,Mers,7/26/2024 8:27,114
-9.389147758,-0.726661682,1.392270088,0.121443748,0.829865456,0.789384842,-0.709960938,0.149291992,-0.683044434,-0.084350586,9.519587639,1.151761124,2.882346461,-0.333353086,0.055697021,Mers,7/26/2024 8:27,113
-9.312531471,-1.543109894,-1.1456604,-0.100137711,0.46553421,0.474056244,-0.762023926,0.116455078,-0.636962891,-0.002319336,9.508783744,0.671921859,2.302002857,-0.181431512,0.191940326,Mers,7/26/2024 8:27,114
-6.793753624,-2.025555611,-0.414209366,0.428249359,-0.693508148,-0.312131882,-0.818359375,0.151672363,-0.553405762,0.03314209,7.101375447,0.872798589,2.147497111,-0.213173835,0.398223403,Mers,7/26/2024 8:27,114
-11.36083317,-2.121326447,1.722680092,0.526256561,1.67784214,1.238940239,-0.705688477,0.136169434,-0.688110352,-0.099731445,11.68486983,2.151063256,2.812580933,-0.335709219,0.035064839,Mers,7/26/2024 8:27,111
-8.679244995,-1.509590149,-1.029537201,-0.222646713,0.578455925,0.582716942,-0.780944824,0.16998291,-0.600708008,-0.021057129,8.869504098,0.850730187,2.23133751,-0.295055466,0.28957245,Mers,7/26/2024 8:27,111
-6.501652718,-1.822042465,-0.165204048,-0.434640884,-1.106842995,-1.976125717,-0.847961426,0.250305176,-0.457641602,0.094482422,6.754155698,2.306314585,2.277686932,-0.344812367,0.599950355,Mers,7/26/2024 8:27,112
-9.3496418,-0.044293404,2.043513298,-1.059969902,0.610414505,0.216255188,-0.676940918,0.124023438,-0.718200684,-0.102966309,9.570460297,1.242138626,-2.126516705,-0.321314467,-0.055738088,Mers,7/26/2024 8:27,113
-12.39994812,-2.224280357,1.607754707,0.95024395,-0.185360909,0.216255188,-0.722351074,0.100219727,-0.682312012,-0.050720215,12.70003983,0.992012368,2.486126953,-0.215669718,0.065259222,Mers,7/26/2024 8:28,114
-11.32491875,-0.816447258,0.618919373,-0.087353706,0.989660263,0.147010803,-0.674621582,0.080627441,-0.733703613,-0.010559082,11.3711667,1.004325785,-2.430513827,-0.124602673,-0.077623233,Mers,7/26/2024 8:28,112
-12.1700983,-2.69715023,-1.152842522,-0.56034565,-2.519426346,-1.520177841,-0.839599609,0.221435547,-0.495910645,-0.007446289,12.5185845,2.995402649,2.038496876,-0.388952955,0.549564765,Mers,7/26/2024 8:28,114
-8.316513062,-1.385087013,1.664020538,0.088418961,0.349416733,0.187491417,-0.651000977,0.095825195,-0.748535156,-0.081542969,8.593708157,0.406279457,-1.832929967,-0.249418143,-0.138740993,Mers,7/26/2024 8:28,114
-9.115003586,-1.993233681,1.489238739,0.341959953,0.676463127,0.454881668,-0.653381348,0.081787109,-0.750427246,-0.05657959,9.448497389,0.884000172,-1.907045771,-0.192989833,-0.135754427,Mers,7/26/2024 8:28,113
-14.84570026,-2.525959015,1.818450928,1.304987907,-0.971549988,-0.290825844,-0.763366699,0.086669922,-0.638916016,-0.039672852,15.16845572,1.652719725,1.860155911,-0.184054521,0.184167284,Mers,7/26/2024 8:28,113
-10.7383213,-0.835601807,-0.047884941,0.282302856,1.926056862,1.752412796,-0.709228516,0.016052246,-0.704589844,0.016845703,10.77088983,2.61922518,3.000835654,0.000969201,0.006538843,Mers,7/26/2024 8:28,111
-9.990110397,-1.825634003,-1.104957581,-1.075949669,-1.914338112,-1.346534729,-0.854248047,0.17175293,-0.487854004,0.053100586,10.21548709,2.575949121,2.077845833,-0.244043774,0.546710859,Mers,7/26/2024 8:28,110
-7.72512722,-1.880702019,-1.332413673,-0.508146286,-0.673267365,-0.964093208,-0.822570801,0.163452148,-0.533447266,0.109924316,8.061634874,1.281006365,2.325892999,-0.152211343,0.418852621,Mers,7/26/2024 8:28,110
-9.856031418,-1.44973278,1.686765671,0.026632309,0.141683578,0.067112923,-0.658813477,0.132507324,-0.733581543,-0.101013184,10.10387346,0.159020944,-2.073929516,-0.328684296,-0.102522192,Mers,7/26/2024 8:28,111
